,MAE,RMSE,R2
LinearRegression,4.877354191614436e-13,5.924329532495053e-13,1.0
RandomForest,3.9042353537915293,14.357672666299175,0.9748339004568308
XGBoost,4.07348230687489,12.522606081043945,0.9808558225631714
